A1	0.00011	0.0001	0.00009	0.00009	0.00009	0.00009	0.00009	0.00009	0.00011	0.00011	0.00011	0.00011	0.00009	0.000149278	0.000297378	0.000602867	0.0012327	0.002529951	0.005196401	0.01065421	0.02173004	0.043820478	0.08639417	0.163275608	0.287081278	0.453848453	0.631660474	0.779686353	0.879568797	0.937784004	0.968857525	0.98466786	0.992516283	0.996364631	0.99824021	0.999151616	0.999593862	0.999808306	0.999912253	0.999962632	0.999987046	0.999998877	1.00000461	1.000007388	1.000008734	1.000009387	1.000009703	1.000009856	1.00000993	1.000009966
B1	0.0001	0.00009	0.00011	0.00009	0.0001	0.00009	0.00009	0.00011	0.00011	0.00011	0.0001	0.00011	0.000169199	0.000347317	0.000724576	0.001523128	0.003211217	0.006769839	0.014227965	0.029668925	0.060844188	0.12071237	0.225360927	0.381387194	0.566449172	0.734667317	0.85439633	0.925574502	0.963448585	0.982417953	0.991630931	0.996038566	0.998132047	0.999122964	0.999591235	0.999812352	0.999916726	0.999965984	0.99998923	1.000000199	1.000005375	1.000007818	1.00000897	1.000009514	1.000009771	1.000009892	1.000009949	1.000009976	1.000009989	1.000009995
C1	0.00009	0.0001	0.00009	0.00011	0.0001	0.00011	0.00011	0.00009	0.0001	0.0001	0.00011	0.00011	0.00009	0.00009	0.00009	0.00009	0.00011	0.00014684	0.000261828	0.000473398	0.000862565	0.001578044	0.002892226	0.005301992	0.009706916	0.017713135	0.032115353	0.057548047	0.101024958	0.171380329	0.275709449	0.411976042	0.563221854	0.703559693	0.813721638	0.88938389	0.936706157	0.964591644	0.980450016	0.989286825	0.994155182	0.996820415	0.998274497	0.999066313	0.999497052	0.999731238	0.999858523	0.999927693	0.999965279	0.999985702
D1	0.0001	0.00009	0.00009	0.00009	0.0001	0.0001	0.0001	0.00011	0.00009	0.00011	0.00011	0.0001	0.00009	0.00009	0.00011	0.00009	0.000160107	0.000279424	0.000493538	0.000877664	0.001566466	0.002800553	0.00500822	0.008946769	0.015939171	0.028246764	0.049584701	0.085626622	0.143904645	0.231796036	0.351340683	0.492976284	0.635749987	0.758053014	0.849043233	0.909883968	0.947715643	0.970187443	0.983174263	0.990560798	0.994723978	0.997058388	0.998363583	0.999092156	0.999498486	0.999724984	0.999851205	0.999921534	0.999960716	0.999982544
A2	0.00009	0.00011	0.00009	0.00011	0.0001	0.00011	0.00009	0.0001	0.00009	0.0001	0.00009	0.00009	0.00009	0.000118333	0.000233536	0.00047119	0.00096127	0.001971106	0.004048617	0.008308653	0.016985693	0.034420602	0.068514204	0.131777657	0.238506207	0.392593768	0.571519629	0.733517256	0.85031152	0.921404404	0.960311073	0.980370935	0.99039603	0.995328084	0.99773576	0.99890666	0.999475042	0.9997507	0.999884332	0.9999491	0.999980488	0.999995699	1.00000307	1.000006642	1.000008373	1.000009211	1.000009618	1.000009815	1.00000991	1.000009957
B2	0.00009	0.0001	0.00011	0.0001	0.00011	0.00009	0.00011	0.0001	0.00009	0.0001	0.00011	0.00011	0.000103026	0.000206588	0.000425393	0.000887517	0.0018628	0.003917787	0.008233232	0.017231912	0.035723251	0.072602396	0.141958589	0.259069001	0.424948817	0.60965082	0.767490074	0.874633304	0.936491848	0.968915567	0.985052505	0.992876585	0.996622062	0.998404116	0.999249526	0.999650034	0.999839648	0.99992939	0.999971858	0.999991952	1.000001461	1.00000596	1.000008088	1.000009095	1.000009572	1.000009797	1.000009904	1.000009955	1.000009979	1.00000999
C2	0.0001	0.00009	0.00011	0.00011	0.00011	0.00009	0.00009	0.0001	0.00011	0.00009	0.00009	0.0001	0.00011	0.00011	0.00011	0.00009	0.0001	0.00014246	0.000255261	0.000464078	0.000850535	0.001565384	0.002886442	0.005323561	0.009805292	0.017998782	0.032818814	0.059113468	0.104211575	0.177239361	0.28515593	0.42485335	0.577684322	0.71696129	0.824279261	0.896767022	0.941477361	0.967526825	0.982202471	0.990314219	0.994750661	0.997162982	0.998470547	0.999178081	0.999560578	0.999767254	0.999878899	0.999939199	0.999971765	0.999989352
D2	0.0001	0.0001	0.0001	0.00011	0.00011	0.00009	0.00011	0.00011	0.00009	0.00011	0.00009	0.00009	0.0001	0.0001	0.00011	0.00011	0.000112438	0.000191163	0.000330369	0.000576482	0.001011474	0.001779896	0.003136076	0.005525686	0.009724142	0.017063597	0.029781615	0.051487598	0.087590516	0.145139455	0.230933044	0.346865724	0.484347189	0.624240938	0.746080423	0.83862791	0.901881818	0.942056582	0.966396386	0.980723026	0.989012918	0.993762363	0.996467953	0.99800423	0.998874943	0.999367919	0.999646865	0.99980465	0.999893884	0.999944345
A3	0.0001	0.0001	0.00009	0.00009	0.00011	0.00011	0.0001	0.00009	0.00009	0.00011	0.00009	0.00011	0.00009	0.000142813	0.000284237	0.00057617	0.001178511	0.002420128	0.004974486	0.010208385	0.020844681	0.042102244	0.083206002	0.157835021	0.279034156	0.444214914	0.62272307	0.773175673	0.875616516	0.93564531	0.967772432	0.98413563	0.992259685	0.996241996	0.998181864	0.999123925	0.999580739	0.999802092	0.999909314	0.999961242	0.999986389	0.999998567	1.000004464	1.000007319	1.000008702	1.000009371	1.000009696	1.000009853	1.000009929	1.000009965
B3	0.00011	0.0001	0.00011	0.00009	0.00011	0.0001	0.00011	0.00011	0.00009	0.00009	0.00009	0.00009	0.000130561	0.000263913	0.000544684	0.001135577	0.002377932	0.004984705	0.010431209	0.021710712	0.044647998	0.089609152	0.171717568	0.303949544	0.479111685	0.659567683	0.803190033	0.895796009	0.947669305	0.974458773	0.987714526	0.994134773	0.997212098	0.99867974	0.999378017	0.999709866	0.999867489	0.999942338	0.999977876	0.999994749	1.000002759	1.000006563	1.000008368	1.000009225	1.000009632	1.000009825	1.000009917	1.000009961	1.000009981	1.000009991
